Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
0;3,421492292;0,629405535;1,05258055;3,477650602;0,631244942;1,164475357;3,567431067;0,641604693;1,234287758;3,652266535;0,652078911;1,294028141;3,74440435;0,666571834;1,340417632;3,885735813;0,696923549;1,377526731;3,969775236;0,719627353;1,389480407;3,825133081;0,649401767;1,35909664;3,843163859;0,493833428;1,313158306;3,893654468;0,382939546;1,065833814;4,158719507;0,363427094;0,973184651;3,80651307;0,714648792;1,376627095;3,811989329;0,877408303;1,387419116;3,88698137;0,935749605;1,12859702;4,010954682;0,826912265;0,900544331;3,432991195;0,527206874;1,049045714;3,453922273;0,5721947;0,566337429;3,420623775;0,612121003;0,137263121;3,609119949;0,594727598;0,039814408;3,410286169;0,731607092;1,056764836;3,457847088;0,79292834;0,577755646;3,381898267;0,789859723;0,152277887;3,547596532;0,850020507;0,040790531
1;3,420823272;0,629127234;1,052545164;3,477083205;0,630961833;1,16438891;3,566972471;0,641184645;1,234080931;3,651921283;0,65148724;1,293689225;3,744177929;0,665747109;1,339912968;3,885674033;0,695670998;1,376735258;3,96977097;0,718202854;1,388607175;3,824858284;0,648292997;1,358471287;3,842863568;0,492739555;1,312471535;3,893033811;0,3819177;1,065049527;4,157983348;0,362515452;0,972050259;3,806485599;0,713618084;1,375970429;3,811817844;0,876384234;1,3867337;3,886819702;0,934849763;1,127942638;4,010876727;0,826244477;0,899825154;3,432331655;0,526930069;1,049002013;3,45311658;0,57208965;0,566301745;3,420089814;0,612212926;0,137223271;3,608797116;0,594678786;0,040211396;3,409608012;0,731329071;1,056737487;3,456885656;0,791885965;0,577605378;3,381370755;0,790085697;0,152046495;3,546928845;0,850083253;0,040556887
2;3,420154252;0,628848932;1,052509778;3,476515808;0,630678723;1,164302464;3,566513874;0,640764596;1,233874103;3,651576031;0,650895569;1,293350309;3,743951508;0,664922385;1,339408304;3,885612253;0,694418447;1,375943784;3,969766704;0,716778356;1,387733943;3,824583488;0,647184227;1,357845934;3,842563277;0,491645682;1,311784763;3,892413154;0,380895855;1,06426524;4,15724719;0,36160381;0,970915866;3,806458128;0,712587377;1,375313762;3,81164636;0,875360165;1,386048283;3,886658033;0,933949922;1,127288256;4,010798772;0,825576688;0,899105976;3,431672116;0,526653263;1,048958311;3,452310888;0,5719846;0,566266062;3,419555853;0,612304849;0,137183422;3,608474283;0,594629975;0,040608383;3,408929855;0,731051049;1,056710138;3,455924224;0,790843591;0,57745511;3,380843242;0,79031167;0,151815103;3,546261157;0,850145998;0,040323243
3;3,419475294;0,628530335;1,052452593;3,475935405;0,63034454;1,164195832;3,566036991;0,640297162;1,23365285;3,651206295;0,650264164;1,293003736;3,743693403;0,664070541;1,338904995;3,885508111;0,693162782;1,375169637;3,969717741;0,715356272;1,386881377;3,824276666;0,646068512;1,357229708;3,842236513;0,490545056;1,311109045;3,891801541;0,379925328;1,063473784;4,156528136;0,360696767;0,969807328;3,806384922;0,711545397;1,374664537;3,811442415;0,8743237;1,385378742;3,886481147;0,933053245;1,126658295;4,010723783;0,824910032;0,898422302;3,431002654;0,526336602;1,048882106;3,451554511;0,571847354;0,566201463;3,419118693;0,612388453;0,137113971;3,608228458;0,594604196;0,040932855;3,408241774;0,730731772;1,056671823;3,455024711;0,789840813;0,577311732;3,380432704;0,790460952;0,151584464;3,545779521;0,850182591;0,040137749
4;3,418790484;0,628159611;1,052358376;3,475344999;0,629940496;1,1640544;3,565540872;0,639763997;1,233407401;3,65080626;0,649577339;1,292645937;3,74339242;0,663180991;1,338408078;3,885343706;0,691903462;1,374433286;3,969604814;0,713937881;1,386075194;3,823927137;0,644943947;1,356632861;3,841876484;0,489436221;1,310454875;3,891201101;0,379045832;1,062669379;4,155829137;0,359801979;0,968728136;3,80624846;0,710488449;1,374030648;3,81119596;0,873269706;1,384749676;3,886274707;0,932162965;1,126077858;4,010643184;0,824252502;0,89780013;3,430325861;0,525968398;1,048751913;3,450865363;0,571655496;0,566086182;3,418834544;0,612459472;0,13699219;3,608108124;0,594618486;0,041143997;3,407549375;0,730358971;1,056613712;3,454239487;0,788894505;0,577175217;3,38022014;0,790488253;0,151351199;3,545603631;0,850173545;0,04002473
5;3,418095735;0,627748592;1,052242361;3,474741586;0,629485378;1,163892783;3,565026467;0,639183447;1,233147526;3,650381741;0,64885078;1,292280481;3,743059753;0,662264322;1,337912515;3,885136939;0,690641029;1,37371426;3,969447189;0,712521903;1,385289676;3,823545583;0,643812437;1,356045141;3,841489981;0,488320632;1,309811759;3,890609705;0,378217655;1,061857806;4,155147241;0,358911789;0,967674799;3,806066263;0,70942023;1,373404201;3,810917044;0,872203316;1,384136486;3,88605305;0,93127585;1,125521841;4,010565549;0,823596105;0,897213461;3,429639146;0,525560338;1,048589217;3,450225531;0,571431441;0,565941985;3,418647196;0,612522173;0,136840809;3,608064799;0,594655808;0,041282623;3,406847053;0,729944914;1,056544636;3,453516182;0,787987794;0,577045593;3,380124551;0,790438861;0,151118687;3,545613792;0,850138347;0,039959861
6;3,417368854;0,627292474;1,052128446;3,474103154;0,628984473;1,163734644;3,564478338;0,63856316;1,232888115;3,649925703;0,64809181;1,291910414;3,742697296;0,661325179;1,337404546;3,884899144;0,689373993;1,372968472;3,969257964;0,71110692;1,384468341;3,823132024;0,642672749;1,35544492;3,8410709;0,487195903;1,309159264;3,890030003;0,37737298;1,061049237;4,154490701;0,358007827;0,966662692;3,805845157;0,708340551;1,372768955;3,810603353;0,87112754;1,383481241;3,885843961;0,93038537;1,124939355;4,01051957;0,822917995;0,896619808;3,428924808;0,525107632;1,048425962;3,449630592;0,571210242;0,565805261;3,418484825;0,612581034;0,13669841;3,608030039;0,594688081;0,041398652;3,406108064;0,72948515;1,056480117;3,452759611;0,787109656;0,576929836;3,380019905;0,79037195;0,15089782;3,54563697;0,850109301;0,03991831
7;3,416611222;0,62679031;1,052021999;3,473428838;0,628441461;1,163586433;3,563897068;0,6379072;1,232633731;3,649441251;0,647303158;1,291536945;3,742311279;0,660363459;1,336880001;3,884640314;0,688096839;1,372181537;3,969048262;0,709685298;1,3835926;3,822690346;0,641525268;1,354826683;3,84061928;0,486062057;1,308491572;3,889465395;0,376492253;1,060247207;4,153867556;0,357078823;0,965706691;3,805592765;0,70725012;1,37212269;3,810252014;0,870045615;1,382749219;3,885639751;0,929469668;1,124288358;4,010511327;0,822202316;0,895982062;3,428188244;0,524609423;1,048270741;3,449082797;0,571008057;0,565685902;3,418323509;0,612636543;0,136575419;3,607980587;0,594707047;0,041505198;3,405329775;0,728978623;1,056422133;3,451944088;0,786260591;0,576827553;3,379860196;0,790297628;0,15069091;3,545618435;0,850098519;0,039897071
8;3,415821457;0,626243048;1,051917653;3,472719502;0,627852662;1,1634417;3,563282074;0,637211503;1,232379812;3,648925279;0,646482094;1,291158865;3,741895473;0,659379264;1,336343049;3,884350455;0,686815082;1,371367839;3,96880696;0,708264671;1,382681041;3,822216663;0,640369609;1,354195945;3,840135083;0,484919071;1,307814501;3,88891248;0,375595028;1,059448182;4,153269767;0,356136046;0,96479192;3,805301464;0,70614823;1,371467627;3,809865901;0,868954304;1,381975142;3,88544811;0,928550602;1,123610892;4,010534739;0,821464923;0,895337332;3,427424058;0,524066568;1,048114962;3,448579894;0,570808728;0,565574017;3,41818717;0,612688213;0,136461412;3,6079397;0,594720963;0,041589148;3,404514819;0,728426388;1,056368707;3,451095299;0,785440099;0,576739136;3,379691431;0,790205787;0,150495645;3,545612917;0,85009389;0,039899149
9;3,414973219;0,625648724;1,051823205;3,47195572;0,627212323;1,163304758;3,562616173;0,636471533;1,232127553;3,648361434;0,645627751;1,290775596;3,741433087;0,658377553;1,335792445;3,884010924;0,685543786;1,37052644;3,968513783;0,706866512;1,381732947;3,821699342;0,639203384;1,353547625;3,83961209;0,483764489;1,307125069;3,888363712;0,37467216;1,058651719;4,152681461;0,355194928;0,963889131;3,804955208;0,705032565;1,370794187;3,809451316;0,867846906;1,38120525;3,8853199;0,92768721;1,122982182;4,010600244;0,820730539;0,894754453;3,426598368;0,523476838;1,047964797;3,448110707;0,570598838;0,565476319;3,418075747;0,612739055;0,136363689;3,60790871;0,594726519;0,041661077;3,40364435;0,727827168;1,056329428;3,450195109;0,78463566;0,576672741;3,379525597;0,790125278;0,150315979;3,545611578;0,85009139;0,039908733
10;3,414058474;0,62501554;1,051742217;3,471130204;0,626529646;1,163178812;3,561894272;0,635697775;1,23187709;3,647747252;0,644751386;1,290383246;3,740924125;0,657370516;1,335218777;3,883623465;0,684297507;1,369638367;3,968170134;0,705508142;1,380726492;3,821139287;0,638031467;1,352868814;3,839048324;0,48260252;1,306411342;3,887815219;0,373711668;1,057852575;4,152093717;0,35426052;0,962975376;3,804554219;0,703906703;1,370093157;3,809032722;0,866723279;1,380476613;3,885286964;0,926898973;1,122445059;4,010708387;0,820009891;0,894262971;3,425706669;0,522849242;1,047823103;3,447673034;0,570360324;0,565392678;3,417986586;0,612783032;0,136283249;3,607886467;0,594723368;0,041723751;3,402706694;0,727188718;1,056308515;3,449235094;0,78385564;0,576632851;3,379363561;0,790062012;0,150154349;3,545614431;0,85009121;0,039925621
11;3,413085257;0,624335295;1,051671127;3,470250242;0,625795429;1,163060658;3,561121465;0,634879744;1,231628289;3,647085197;0,643841741;1,289985706;3,740368583;0,656345963;1,334631457;3,883186333;0,683061689;1,368722593;3,967774611;0,704172241;1,379683502;3,820535593;0,636848984;1,35217242;3,838445763;0,481428956;1,305685253;3,887270873;0,372725533;1,057055993;4,151515457;0,353327772;0,962073602;3,804098274;0,702767066;1,369373751;3,808585657;0,865583565;1,379752159;3,88531746;0,926166412;1,121956694;4,010858624;0,819292251;0,89383334;3,424753466;0,522174772;1,047687022;3,447269075;0,570111248;0,565323225;3,417922341;0,612826181;0,136219093;3,60787412;0,594711856;0,041774404;3,401713525;0,726503283;1,05630175;3,448223679;0,783091672;0,576614983;3,379204455;0,790010079;0,150008319;3,545621462;0,850093158;0,039950013
