Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
10;0,843360241;0,227124686;0,949981288;0,880014699;0,230935494;1,04722204;0,956350823;0,223932998;1,132705445;1,027337846;0,216726324;1,209508618;1,106582634;0,206767524;1,277231463;1,232983453;0,18817239;1,349037573;1,320072828;0,182036246;1,392430718;1,167848317;0,166298666;1,321783438;1,155558247;0,026913618;1,269811838;1,109816014;-0,003861944;0,955616132;1,232289171;-0,062998127;0,733012642;1,179025761;0,229043258;1,318353977;1,197223794;0,377195023;1,319060642;1,208156176;0,396085297;1,000812268;1,259954056;0,47042275;0,756190266;0,824410204;0,144901025;0,960484883;0,771197055;0,180064946;0,525488825;0,783549432;0,20387736;0,096702146;0,949579768;0,132324094;0,017728511;0,86233218;0,309350257;0,939537173;1,024760453;0,279621214;0,532066358;1,032387767;0,266126383;0,102709698;1,210358305;0,277829693;0,018965226
11;0,843276811;0,227047107;0,949941882;0,879937867;0,23079554;1,047182561;0,956294645;0,223735139;1,132642747;1,027306156;0,216475443;1,209418279;1,106577519;0,20646784;1,277102816;1,23300979;0,187815588;1,348838704;1,320118005;0,181648557;1,392189634;1,167852066;0,165964861;1,321596903;1,155499892;0,026591382;1,269608848;1,109755084;-0,004045349;0,955399842;1,23213224;-0,063116785;0,732726316;1,179035807;0,228710064;1,318198397;1,197213459;0,37686456;1,318864525;1,208184574;0,395784017;1,000619096;1,259970543;0,47007932;0,755981673;0,824330327;0,144815951;0,960393253;0,770948781;0,179983933;0,525418497;0,783528354;0,203873273;0,096643035;0,94957688;0,132324966;0,017703158;0,86224515;0,309280201;0,939550304;1,024543314;0,27964073;0,53202104;1,032345034;0,266128308;0,10266796;1,210473624;0,277697974;0,018897196
12;0,843191931;0,226965309;0,949908336;0,879861077;0,230656276;1,047148157;0,95624116;0,223540138;1,132582881;1,0272801;0,216228613;1,209328102;1,10658104;0,2061722;1,276970724;1,233048067;0,187460952;1,348629895;1,32017549;0,181263934;1,391937926;1,167863723;0,165635399;1,321407917;1,155450766;0,026273387;1,269403557;1,109695945;-0,00422514;0,955182492;1,231978853;-0,06323181;0,732439977;1,179055585;0,22838069;1,318037839;1,197214464;0,376537668;1,318667752;1,20821395;0,39549258;1,000425312;1,259988745;0,469746089;0,755772752;0,824248607;0,144727382;0,960312134;0,770714576;0,17990548;0,525357183;0,783508044;0,203868189;0,096592387;0,949574236;0,132325812;0,017684302;0,862157095;0,309205198;0,939564543;1,024337619;0,279654635;0,531981883;1,032307004;0,266128916;0,102632187;1,21055443;0,277602778;0,018852812
13;0,843104454;0,226883923;0,949883069;0,87978391;0,230521563;1,047121017;0,956191883;0,223350095;1,132526168;1,027263457;0,215985958;1,209236129;1,10659942;0,205878526;1,276830049;1,233107415;0,187103468;1,348400133;1,320254684;0,180877442;1,391664048;1,167889141;0,165307358;1,32121008;1,155413993;0,02595646;1,269191004;1,109635192;-0,004396289;0,954959304;1,231823682;-0,063339798;0,732148226;1,179091254;0,228052181;1,317867148;1,197234271;0,376211209;1,31846787;1,208244163;0,395220606;1,000228971;1,260009485;0,469428849;0,755560604;0,824163599;0,144639976;0,960243603;0,770494552;0,179827033;0,525306158;0,783489179;0,203861641;0,096551584;0,949572168;0,132326704;0,01767211;0,862067208;0,30912984;0,939582583;1,024143192;0,279665108;0,531951946;1,03227336;0,266127655;0,102605481;1,210567818;0,277580803;0,018859417
14;0,843015527;0,226798318;0,949863662;0,879706786;0,23038754;1,047098952;0,9561453;0,223162909;1,132472287;1,027252448;0,215747353;1,209144318;1,106626436;0,205588895;1,276685929;1,233178702;0,18674815;1,348160431;1,320346185;0,180494017;1,391379546;1,167922467;0,16498366;1,32100979;1,155386449;0,025643774;1,26897615;1,109576229;-0,004563823;0,954735057;1,231672055;-0,063444153;0,731856461;1,179136654;0,227727491;1,317691478;1,197265418;0,375888321;1,318267331;1,208275355;0,394958476;1,000032018;1,26003194;0,469121808;0,755348128;0,824076749;0,144549075;0,960185583;0,770288596;0,179751145;0,525264149;0,783471082;0,203854096;0,096519245;0,949570345;0,132327572;0,017666415;0,861976296;0,309049535;0,93960173;1,023960209;0,279669969;0,531928169;1,032244419;0,266125076;0,10258474;1,210546693;0,277595351;0,018889667
15;0,842926104;0,226708398;0,94984786;0,879629088;0,230252063;1,047080395;0,956098504;0,222976739;1,132421748;1,027241808;0,215512455;1,209055507;1,106654438;0,205305217;1,27654433;1,233251444;0,186399727;1,347922459;1,320439109;0,180118261;1,39109688;1,167955317;0,164666804;1,320815831;1,155362163;0,025338583;1,268764945;1,109518548;-0,004738227;0,954516161;1,23153174;-0,063545835;0,731573102;1,179184463;0,227408817;1,317515907;1,197298864;0,375571465;1,318064992;1,208305488;0,394694914;0,999832727;1,260056603;0,468815417;0,755134658;0,823987987;0,144454554;0,960133947;0,770092619;0,179680454;0,525227762;0,783454201;0,203846577;0,096492014;0,949568366;0,132328229;0,01766316;0,861886301;0,308964228;0,939621663;1,023786886;0,279667431;0,531908861;1,032218667;0,266122057;0,102568173;1,210526209;0,277609725;0,018918715
16;0,842835966;0,226614303;0,949836246;0,879549507;0,230114679;1,047066366;0,956049882;0,222791284;1,132375855;1,027229951;0,215281658;1,208971033;1,106682065;0,205028693;1,276406428;1,233324521;0,186059617;1,347686971;1,320532522;0,17975215;1,390816506;1,167985358;0,164358025;1,320631313;1,155340289;0,025042784;1,26855827;1,109463378;-0,0049235;0,954303746;1,231408907;-0,063644514;0,731300841;1,179234115;0,227096923;1,317340064;1,197334265;0,3752614;1,317855925;1,208332111;0,394426832;0,999625882;1,260084298;0,468508099;0,75491614;0,823896626;0,144356569;0,96008858;0,769906289;0,179617379;0,525197021;0,783438688;0,203839657;0,096469817;0,949565979;0,132328563;0,017662046;0,861797465;0,30887405;0,939643652;1,023622607;0,279656117;0,531895047;1,032195981;0,266118765;0,102556752;1,210518129;0,277611692;0,018939151
17;0,842745333;0,226515894;0,949828237;0,879469352;0,229975842;1,047055844;0,956001048;0,222606844;1,132333305;1,027218464;0,215054566;1,20888956;1,106710677;0,204758122;1,276271045;1,233399053;0,185726403;1,347453213;1,320627357;0,179393709;1,390537968;1,168014923;0,164056087;1,320453125;1,155321673;0,02475448;1,268355245;1,109409489;-0,005115643;0,954096682;1,231297386;-0,063740519;0,731036987;1,179286176;0,226791045;1,31716432;1,197371967;0,374957366;1,317645056;1,208357674;0,394157318;0,999416698;1,260114202;0,468201431;0,754696628;0,823803354;0,144254962;0,960049596;0,769729937;0,179559501;0,525171902;0,783424391;0,203832763;0,096452729;0,949563436;0,132328686;0,017663372;0,861709545;0,308778871;0,939666426;1,023467988;0,279637402;0,531885701;1,032176485;0,266115032;0,102549504;1,21051069;0,277613486;0,018958386
18;0,842655816;0,22641265;0,949819823;0,879391929;0,229834775;1,0470442;0,955953936;0,222422482;1,132290698;1,027206839;0,214829653;1,208809918;1,106736713;0,204491804;1,276140616;1,233467912;0,185400559;1,347230588;1,32071553;0,17904161;1,39027235;1,168042618;0,16375978;1,320280726;1,15530288;0,024471232;1,268159181;1,109352694;-0,005313133;0,953897995;1,231186434;-0,063835801;0,730781882;1,179335014;0,226491085;1,316994862;1,19740396;0,374659542;1,317446024;1,208387493;0,393884362;0,99921909;1,260144334;0,467890601;0,754487613;0,823710168;0,144149133;0,960013209;0,769560472;0,179502207;0,525148949;0,783411311;0,203825198;0,096437618;0,949561091;0,132328748;0,017663979;0,861623756;0,308678238;0,939685856;1,023323093;0,279613629;0,531876059;1,032159031;0,266111236;0,102541719;1,210503763;0,277615108;0,018973811
19;0,842566209;0,226303269;0,949809287;0,879317062;0,229690524;1,047029316;0,955908;0,222237546;1,132246276;1,02719368;0,214606445;1,208731157;1,10675762;0,20422958;1,276015599;1,233527132;0,1850831;1,347022374;1,320792663;0,178695787;1,390023605;1,168066814;0,163469172;1,320113416;1,155280812;0,024192811;1,267970552;1,109288352;-0,005520006;0,953708737;1,231071381;-0,063928843;0,730535109;1,179377568;0,226197488;1,316832942;1,197425356;0,374368593;1,31726383;1,208425374;0,393605079;0,99903812;1,260175528;0,467571884;0,754293254;0,823615555;0,144037934;0,9599784;0,769396317;0,17944364;0,525127102;0,783399502;0,203816591;0,096423575;0,949559163;0,132328845;0,017662876;0,861539189;0,308570693;0,939699575;1,023188752;0,279584992;0,531864349;1,032143831;0,266107667;0,102531631;1,21049753;0,277616382;0,018983525
