Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
10;0,031830907;0,177779377;0,943830339;0,034690298;0,179992351;1,056534077;0,046636029;0,188284224;1,158481355;0,049377445;0,190251573;1,252490831;0,052088727;0,192167508;1,346397076;0,067295514;0,203732865;1,481503108;0,100075956;0,217691387;1,561506757;0,081367793;0,172149331;1,422288066;0,176038342;0,043792804;1,413814526;0,361152587;-0,139123773;1,376866531;0,556263438;-0,293780921;1,358065876;0,039893294;0,225188952;1,422416258;-0,05039043;0,3569407;1,42227997;-0,191914721;0,570021268;1,361794429;-0,315933356;0,781304897;1,313636931;0,080449907;0,097869635;0,945034103;0,065689038;0,057521823;0,508815833;0,036531275;0,008306233;0,078124997;0,170006372;0,032417796;0,014778652;-0,016744418;0,257722471;0,944335729;-0,030943261;0,285495031;0,507116578;-0,074191854;0,295982494;0,074927128;0,038613907;0,374023196;0,014888251
11;0,03173677;0,177758813;0,943827039;0,03456516;0,179951251;1,056531962;0,046502315;0,188244612;1,158480123;0,049241305;0,190224971;1,252489397;0,051956868;0,192163561;1,346395052;0,067178137;0,20377041;1,48149589;0,099961888;0,217752179;1,561494124;0,081239971;0,172165155;1,422283938;0,175922006;0,043818014;1,41379586;0,360977318;-0,139172924;1,376920803;0,556016398;-0,293935411;1,358242742;0,039773239;0,225211041;1,422398673;-0,050547904;0,356937214;1,422230035;-0,192079599;0,570008844;1,361729909;-0,316133967;0,781278572;1,313603141;0,080327797;0,097831987;0,945030702;0,065602156;0,057507173;0,508809189;0,036529944;0,008297642;0,078111953;0,170003826;0,032416765;0,014770232;-0,016811026;0,257718709;0,944332776;-0,031027516;0,285529881;0,507116772;-0,074199098;0,295979497;0,07491882;0,038608861;0,374025216;0,014890594
12;0,031646152;0,177744787;0,943825345;0,034442379;0,179915267;1,056531494;0,046367412;0,18820841;1,158481091;0,049100136;0,190199356;1,252490323;0,051815289;0,192157746;1,346395578;0,06704325;0,203801655;1,481492474;0,099830879;0,217805153;1,561485318;0,081098273;0,172177887;1,422285535;0,175795536;0,043842634;1,413787549;0,360818356;-0,139195384;1,376983049;0,55580067;-0,294041643;1,358406326;0,03963853;0,22522933;1,422386385;-0,050711838;0,356935462;1,42217879;-0,192231254;0,57000682;1,361648873;-0,316278907;0,781283501;1,313535282;0,080215821;0,097804981;0,945028109;0,06552793;0,057496352;0,508803873;0,036528028;0,00829087;0,078101346;0,17000198;0,032416182;0,014764518;-0,016880737;0,257717315;0,944332143;-0,031111578;0,285564578;0,507118993;-0,074206155;0,295976614;0,074912545;0,038603578;0,374027705;0,014894638
13;0,031561843;0,177735937;0,9438268;0,034324936;0,179882102;1,056534231;0,046233061;0,188172742;1,158486007;0,048954077;0,190171232;1,252495417;0,051661985;0,192145962;1,34640054;0,066885441;0,203821298;1,481495233;0,099678452;0,217844334;1,561482449;0,080937311;0,172184061;1,422297744;0,175653375;0,043863021;1,413796058;0,360682377;-0,139182026;1,377057876;0,555620204;-0,294091407;1,358540378;0,039485311;0,225241472;1,422383542;-0,050874538;0,356940972;1,422120331;-0,192366713;0,570014778;1,361535573;-0,316344455;0,781328347;1,313404059;0,080120735;0,097789732;0,945026944;0,065470019;0,057487209;0,508800887;0,036525297;0,008286218;0,078094129;0,170001445;0,032416439;0,014763049;-0,016954694;0,257714339;0,944336207;-0,031205972;0,285608617;0,50712674;-0,074213667;0,295974906;0,074910596;0,038596945;0,374032254;0,014902482
14;0,031481052;0,177733625;0,943829861;0,034209851;0,179854055;1,056538616;0,046097523;0,188140484;1,158493121;0,04880299;0,190144095;1,252502871;0,051498961;0,192132311;1,346408052;0,066710123;0,203834642;1,481501793;0,099509083;0,217875698;1,561483407;0,080762473;0,172187144;1,422315679;0,17550108;0,043882819;1,413814922;0,360562706;-0,139141977;1,377140676;0,555471049;-0,294092913;1,358661147;0,03931744;0,225249815;1,422385996;-0,051043698;0,356948215;1,422060561;-0,192488949;0,570033135;1,361405756;-0,316354331;0,781404448;1,313238766;0,080035783;0,097785125;0,945026587;0,065424764;0,057481895;0,508799229;0,03652198;0,008283385;0,078089349;0,17000161;0,032417144;0,014764287;-0,017031755;0,25771373;0,94434259;-0,031300173;0,285652502;0,507136514;-0,074220993;0,295973311;0,074910681;0,038590076;0,374037272;0,014912026
15;0,031390999;0,177746444;0,94383293;0,034085777;0,179839457;1,056543015;0,045953577;0,188120439;1,158500279;0,048644302;0,190127959;1,25251037;0,051329316;0,192128518;1,346415603;0,066529454;0,203856689;1,481508343;0,099333334;0,217914158;1,561485056;0,080583288;0,172196745;1,42233171;0,17534644;0,043910437;1,413833701;0,360449486;-0,139083146;1,377213065;0,555356949;-0,294040633;1,358780079;0,039143368;0,22526328;1,42238765;-0,051229755;0,356953229;1,422006971;-0,192602711;0,570064978;1,361278399;-0,316357116;0,78149265;1,313073632;0,079941567;0,097795553;0,945024941;0,065376018;0,057489181;0,508796339;0,036517751;0,008283017;0,078084344;0,170001275;0,032417567;0,014765289;-0,017118122;0,257728497;0,944350328;-0,031378401;0,285661482;0,507143633;-0,07422602;0,295969895;0,07491027;0,038585672;0,374039239;0,01491979
16;0,031285212;0,177787532;0,943835727;0,033946368;0,179849911;1,056547174;0,045796368;0,188123873;1,158507078;0,048475025;0,190134301;1,252517451;0,051152447;0,192146759;1,346422647;0,066346615;0,203901413;1,481513757;0,099154999;0,217973055;1,561486132;0,080402238;0,172222053;1,422343027;0,17519257;0,043955417;1,413850168;0,360338409;-0,13900224;1,377266221;0,55528718;-0,293915859;1,358901917;0,038964505;0,225290285;1,422386242;-0,051446615;0,35695393;1,421965713;-0,192708212;0,57011896;1,361165446;-0,316371232;0,781591809;1,312924425;0,079829346;0,0978327;0,945020694;0,065319347;0,057514658;0,508791343;0,036512424;0,008286441;0,078078455;0,169999828;0,032417255;0,014764831;-0,017218028;0,257773427;0,944360239;-0,031439304;0,285607718;0,507146022;-0,074227447;0,295963319;0,074907942;0,038585438;0,374035829;0,014923828
17;0,031170162;0,177843751;0,943838531;0,03379797;0,179873816;1,056551347;0,045630752;0,188139521;1,15851392;0,048298149;0,190151645;1,252524577;0,050968957;0,192174858;1,34642973;0,066158426;0,20395484;1,481519161;0,098970285;0,218039049;1,561487898;0,080216841;0,172253879;1,422352439;0,175036355;0,044008218;1,41386655;0,360233782;-0,138902553;1,377308967;0,555252467;-0,293737299;1,359021917;0,038779442;0,225322413;1,422384034;-0,051680373;0,356952401;1,421930634;-0,192805238;0,570186428;1,361054952;-0,316378256;0,781703069;1,312775377;0,079707861;0,097884882;0,945015159;0,065259184;0,057552735;0,508785114;0,036506185;0,00829233;0,07807234;0,169997882;0,032416661;0,014764137;-0,01732724;0,257833733;0,944371504;-0,031484235;0,285519048;0,507145757;-0,074226576;0,295954921;0,074905118;0,03858767;0,374029369;0,014926084
18;0,031052476;0,177884282;0,943840576;0,033648274;0,179884695;1,056554666;0,045464083;0,188142394;1,158519857;0,048120061;0,190155578;1,252530814;0,050783754;0,192188014;1,34643597;0,065967511;0,203990059;1,481524118;0,098778375;0,218087037;1,561491013;0,080029182;0,172274265;1,422360746;0,174876234;0,044048618;1,413879078;0,36013867;-0,138801881;1,377349392;0,555228723;-0,293555555;1,359137288;0,038592405;0,225343327;1,42238171;-0,051899748;0,356950927;1,421890765;-0,1928979;0,570244504;1,360930057;-0,316371501;0,781810709;1,312613409;0,079583945;0,097921435;0,945010174;0,065192691;0,057595411;0,508777704;0,036499268;0,008297355;0,078065308;0,169996072;0,032416413;0,01476394;-0,017439265;0,25787806;0,9443807;-0,031501474;0,285444235;0,507144382;-0,074225195;0,295946784;0,074903534;0,03858996;0,374023313;0,014928922
19;0,030934285;0,17788878;0,943840611;0,033500417;0,179865418;1,056555804;0,045299096;0,188116283;1,158523532;0,047942613;0,190129917;1,25253483;0,050597312;0,192169224;1,346440092;0,065772093;0,203987677;1,481527815;0,098575303;0,218098251;1,561495451;0,079837541;0,172270537;1,422367449;0,174707478;0,044061898;1,413885767;0,360057187;-0,138707396;1,377392877;0,555210608;-0,293389559;1,359252507;0,038402917;0,225341314;1,422378894;-0,052087654;0,356949909;1,421839964;-0,192982552;0,570282294;1,360776276;-0,316340427;0,781908601;1,312427211;0,07946131;0,097922966;0,945006287;0,065113939;0,05764082;0,508768356;0,036491335;0,008299897;0,078056207;0,16999475;0,032416934;0,014764607;-0,017553504;0,257884858;0,944384766;-0,031477442;0,285405384;0,507141208;-0,074223961;0,295939779;0,074903391;0,038591154;0,374019495;0,014932849
20;0,030813458;0,177877589;0,943839887;0,033351261;0,179833116;1,05655609;0,045133055;0,188077397;1,158526302;0,047763953;0,190090845;1,252537958;0,050409157;0,192135491;1,346443371;0,065573949;0,203967087;1,481531066;0,098365034;0,21809146;1,561501239;0,079643638;0,172255369;1,422373047;0,174534816;0,044062778;1,413888601;0,359985218;-0,138611928;1,377434042;0,555203462;-0,29322038;1,359363096;0,038211456;0,225328087;1,422375961;-0,052261178;0,356948945;1,421784372;-0,19306284;0,570310692;1,360608093;-0,316295573;0,782002873;1,312228092;0,079336244;0,097908869;0,945002951;0,065028856;0,057690828;0,508757828;0,036482724;0,008301573;0,07804619;0,169993564;0,032417802;0,014765771;-0,017670556;0,257875677;0,944386763;-0,031425718;0,28538039;0,507136925;-0,074222217;0,295933035;0,074904487;0,038592406;0,374016081;0,014937357
21;0,030690226;0,177880927;0,943841386;0,03319908;0,179812706;1,056558643;0,044965105;0,188049379;1,15853129;0,047584928;0,190062499;1,252543264;0,050222768;0,192113015;1,346448756;0,065381038;0,203959545;1,481535873;0,098158642;0,218097864;1,561509109;0,07945472;0,172248823;1,42237983;0,174370874;0,044075195;1,413889776;0,359913485;-0,138511756;1,377464828;0,555199219;-0,293041822;1,359452839;0,038023684;0,225322461;1,422374725;-0,052440299;0,356949119;1,421731439;-0,193153815;0,570339495;1,360452102;-0,316261868;0,782096193;1,312036902;0,079204441;0,097906659;0,945000369;0,06495238;0,057743022;0,508748447;0,036474684;0,00830391;0,078038023;0,169992094;0,03241838;0,014767059;-0,017785725;0,257883818;0,944392456;-0,031375325;0,285351704;0,507135145;-0,074219789;0,29592602;0,074907948;0,038594778;0,374011035;0,014943276
