Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
10;3,099875515;1,231193279;1,032421802;3,137502698;1,243883521;1,151168363;3,216887312;1,279436091;1,22516652;3,293772981;1,315944243;1,285427853;3,377909218;1,359795277;1,328434675;3,504553348;1,433991594;1,355435866;3,579877638;1,478490076;1,363628192;3,45030598;1,363131684;1,350093318;3,517698169;1,215357652;1,334022521;3,553908777;1,171716587;1,064208123;3,777338731;1,196149246;0,894782559;3,413499448;1,421500422;1,362331195;3,36862558;1,578397196;1,359650561;3,410780438;1,635507355;1,093234442;3,561702777;1,692783893;0,862659871;3,134609792;1,1343316;1,031698934;3,220162305;1,206906437;0,559590926;3,280353943;1,250927154;0,13385668;3,468423752;1,291682681;0,042761542;3,065292745;1,328100354;1,033838741;3,029730822;1,263322467;0,554244715;2,988552246;1,19031623;0,130235543;3,155644101;1,287710489;0,041217229
11;3,099837787;1,23109473;1,032392716;3,137628552;1,243814224;1,151084162;3,21711604;1,279367005;1,224971685;3,294086123;1,315869357;1,285128671;3,378291054;1,359698643;1,328023066;3,505009704;1,433829796;1,354853057;3,580357951;1,478299456;1,362981331;3,450731782;1,362986968;1,34960743;3,518094651;1,215213514;1,333408158;3,554181889;1,171560317;1,063579013;3,77739985;1,196002978;0,893875708;3,413976855;1,421393723;1,361818908;3,36904646;1,578273067;1,35906936;3,411160506;1,635241605;1,092616319;3,561906351;1,692363252;0,861887855;3,134567072;1,13423146;1,03164593;3,22009778;1,207136665;0,559584968;3,280337537;1,250939688;0,133835137;3,468421668;1,291684102;0,042764599;3,065260852;1,328003793;1,033833694;3,029491154;1,263336387;0,554240525;2,988555346;1,190298478;0,130213586;3,155648451;1,287693782;0,041198762
12;3,099807651;1,230996041;1,032363592;3,137755711;1,243741028;1,151002106;3,217343603;1,279293235;1,22478175;3,294396576;1,31578977;1,28483607;3,378669035;1,359598371;1,327618845;3,505460044;1,433667492;1,354277798;3,580832062;1,47810867;1,36234118;3,451147921;1,362839985;1,349130395;3,51848116;1,215066595;1,33280726;3,554450847;1,171410504;1,062962712;3,77747054;1,195859548;0,892999784;3,414442906;1,421283078;1,361317954;3,369460584;1,578146263;1,358499734;3,411534655;1,634970568;1,092009463;3,562112401;1,691949335;0,861135848;3,13453189;1,134131161;1,031591634;3,220058653;1,207345488;0,559577878;3,280320775;1,250954554;0,133811348;3,468420008;1,291685614;0,042766033;3,06523661;1,327907014;1,033829838;3,029269849;1,263343462;0,5542377;2,988556943;1,190281775;0,130193635;3,155652539;1,287676676;0,041183045
13;3,099789425;1,230889563;1,032334905;3,137888347;1,243657178;1,150922641;3,217573728;1,279209045;1,224597157;3,294707556;1,315700739;1,284550547;3,37904585;1,359490631;1,327222607;3,505906481;1,433501782;1,353710815;3,581302579;1,477913956;1,361708585;3,451555678;1,362688545;1,348664616;3,518858483;1,214914444;1,332222847;3,554718505;1,171272421;1,062361271;3,777552085;1,19571812;0,892153749;3,414898557;1,421166322;1,360829437;3,369868686;1,578014474;1,357939076;3,411905077;1,63468277;1,09140959;3,562320289;1,691537057;0,860399271;3,134509053;1,13402322;1,031536981;3,220046801;1,207537317;0,559571799;3,280303903;1,250972559;0,133786782;3,468418967;1,291687277;0,04276687;3,065223922;1,327802139;1,033827145;3,029062813;1,263350324;0,554234795;2,988555403;1,190265755;0,13017517;3,155656686;1,28765762;0,041171935
14;3,099778792;1,230782943;1,032306179;3,138022288;1,24356943;1,15084532;3,21780269;1,27912017;1,224417463;3,295015846;1,315607006;1,284271605;3,37941881;1,359379254;1,326833756;3,506346901;1,433335566;1,353151382;3,581766895;1,477719075;1,361082701;3,451953771;1,362534838;1,348207689;3,519225832;1,214759513;1,331651899;3,55498201;1,171140794;1,06177264;3,777643202;1,19557953;0,891338641;3,415342854;1,421045619;1,360352253;3,370270033;1,577880008;1,357389993;3,41226958;1,634389685;1,090820985;3,562530654;1,691131504;0,859682703;3,134493755;1,13391512;1,031481037;3,220060346;1,207707742;0,559564587;3,280286675;1,250992897;0,13375997;3,468418351;1,291689031;0,042766082;3,065218884;1,327697046;1,033825643;3,028874141;1,26335034;0,554233257;2,988552361;1,190250783;0,130158712;3,15566057;1,287638164;0,041163575
15;3,099771598;1,230681046;1,032276755;3,138155621;1,243483686;1,150768722;3,218029656;1,279031619;1,224240559;3,29532145;1,31551222;1,283996926;3,379788723;1,359266079;1,32645027;3,506783474;1,433167996;1,352598581;3,582226862;1,477523513;1,360463748;3,452346829;1,362379492;1,347755207;3,519587721;1,214602462;1,331088622;3,555242246;1,170996649;1,061193706;3,777737407;1,195442809;0,890544016;3,415781425;1,420922135;1,359882892;3,370669833;1,57774408;1,356854619;3,412627723;1,634113954;1,090249348;3,562746514;1,690736913;0,858989436;3,134481268;1,13381152;1,031423812;3,220083343;1,207861643;0,559554154;3,280267556;1,251013542;0,133730097;3,468417466;1,291690544;0,042765362;3,065217864;1,327596877;1,033824063;3,028696103;1,263343036;0,554232858;2,988549084;1,190237767;0,13014289;3,155663063;1,287621262;0,041154336
16;3,099766098;1,23058525;1,032246206;3,138286998;1,243401847;1,150692244;3,218253437;1,278944869;1,224065885;3,295623339;1,315417148;1,283726181;3,380154811;1,359150942;1,326072289;3,507215979;1,432997598;1,352053561;3,582682113;1,477326052;1,359852817;3,452735614;1,362222368;1,347305933;3,519944537;1,214442953;1,330531837;3,55550005;1,170826335;1,060625508;3,777831165;1,19530659;0,889766939;3,416215424;1,4207959;1,359420792;3,371068782;1,577606703;1,356336255;3,412976006;1,633868779;1,089700073;3,562969653;1,690355186;0,858325486;3,134469958;1,133713819;1,031365345;3,220113507;1,208001154;0,559540541;3,280246071;1,251033694;0,133697153;3,46841611;1,291691659;0,042765551;3,065218977;1,327503002;1,033821551;3,028525586;1,263327837;0,554233123;2,988545496;1,190227934;0,130126633;3,155663282;1,287608762;0,041142308
17;3,099764037;1,230494175;1,032214958;3,138417767;1,243322013;1,150616488;3,218475222;1,278858443;1,223894002;3,295922541;1,315321022;1,2834597;3,380517852;1,359034009;1,325699671;3,507644638;1,432825845;1,351515173;3,583133014;1,477127909;1,359248818;3,453119365;1,362063605;1,346861103;3,520295892;1,214281323;1,329982723;3,555754587;1,170643503;1,060067008;3,777928011;1,19517224;0,889010345;3,416643698;1,420666883;1,358966515;3,371466183;1,577467863;1,3558316;3,413317929;1,633640958;1,089167767;3,563198287;1,689984422;0,857684836;3,134461459;1,133620616;1,031305597;3,220153123;1,208124141;0,559523706;3,280222696;1,251054153;0,133661149;3,468414484;1,291692533;0,042765807;3,065224107;1,327414051;1,03381896;3,028365704;1,263305317;0,554234528;2,988541674;1,190220058;0,130111013;3,155662109;1,287598817;0,0411294
18;3,099766505;1,230408552;1,032183633;3,138550057;1,243244388;1,150541837;3,218697751;1,278772919;1,223724475;3,29622214;1,315225188;1,283196151;3,380880988;1,35891761;1,325329967;3,508072272;1,432656312;1,350979046;3,583582516;1,476932231;1,358648705;3,453500422;1,361904239;1,346420027;3,520645142;1,214119243;1,329439026;3,556004233;1,170470126;1,059511988;3,77803207;1,19504289;0,888272589;3,417068418;1,420536163;1,358518237;3,371865157;1,577328724;1,35533288;3,413663543;1,63341352;1,088641947;3,563430088;1,689623154;0,857052737;3,134455942;1,133532374;1,031244455;3,220193096;1,208229091;0,55950144;3,280197323;1,25107529;0,133621298;3,468412501;1,291693307;0,042765294;3,065235273;1,327331055;1,033817576;3,028218069;1,263276735;0,554238278;2,988539117;1,190211359;0,130097877;3,155661064;1,287588843;0,041117709
19;3,099773394;1,230328941;1,032153002;3,138684175;1,243169007;1,150468985;3,218921827;1,278688431;1,223557406;3,29652337;1,31513011;1,282934869;3,381245718;1,35880271;1,324961452;3,508500338;1,43249068;1,350441584;3,584032198;1,476740386;1,35804945;3,453879453;1,36174422;1,345981689;3,520993353;1,213956963;1,328898674;3,556246999;1,170317499;1,058956171;3,778146592;1,19492069;0,887554858;3,417490185;1,420403613;1,35807486;3,372268747;1,57718981;1,354837916;3,414017913;1,633177824;1,088118854;3,563664338;1,689271594;0,85642384;3,13445291;1,133449552;1,031182133;3,220232029;1,208311574;0,559473001;3,280170325;1,251097358;0,133577572;3,468410379;1,291693892;0,042763512;3,065252757;1,327254696;1,033818677;3,028082332;1,263240668;0,554245947;2,988538646;1,190200413;0,130088668;3,155660658;1,287577971;0,041108703
